domain,problem,config,solved,cost,search_time,co_edges,tr_nodes,num_trs,peak_mem_kb
depot,p15.pddl,on,0,,,7455,4670829,70,3541924
depot,p15.pddl,on-w0.5,0,,,7455,4599235,74,3449000
depot,p15.pddl,on-w2,0,,,7455,3877876,64,4662296
depot,p15.pddl,on-skipc,0,,,4830,1931304,38,5947940
depot,p15.pddl,on-norm,0,,,7455,1942120,38,3740680
depot,p16.pddl,off,0,,,,396904,5,3223876
depot,p16.pddl,on,0,,,1419,385391,6,4670188
depot,p16.pddl,on-w0.5,0,,,1419,390629,6,4488428
depot,p16.pddl,on-w2,0,,,1419,387505,6,4759896
depot,p16.pddl,on-skipc,0,,,675,393808,5,3761924
depot,p16.pddl,on-norm,0,,,1419,587233,8,5221492
depot,p17.pddl,off,0,,,,4093779,70,4122412
depot,p17.pddl,on,0,,,3565,2314751,34,4873400
depot,p17.pddl,on-w0.5,0,,,3565,2028963,32,7623552
depot,p17.pddl,on-w2,0,,,3565,2055247,33,5009280
depot,p17.pddl,on-skipc,0,,,2205,1135723,19,5216668
depot,p17.pddl,on-norm,0,,,3565,1194062,19,4754268
depot,p18.pddl,off,0,,,,9173917,585,3486196
depot,p18.pddl,on,0,,,7935,4148469,66,6035540
depot,p18.pddl,on-w0.5,0,,,7935,9163439,218,4963068
depot,p18.pddl,on-w2,0,,,7935,4002170,70,5967112
depot,p18.pddl,on-skipc,0,,,5670,10035594,593,3630268
depot,p18.pddl,on-norm,0,,,7935,2301273,54,4923588
depot,p19.pddl,off,0,,,,1629185,25,8191996
depot,p19.pddl,on,0,,,3196,482814,9,4603428
depot,p19.pddl,on-w0.5,0,,,3196,520750,7,5068156
depot,p19.pddl,on-w2,0,,,3196,482384,9,5238088
depot,p19.pddl,on-skipc,0,,,1372,504261,7,6052824
depot,p19.pddl,on-norm,0,,,3196,1715381,25,8191920
depot,p20.pddl,off,0,,,,9028082,575,8191920
depot,p20.pddl,on,0,,,9615,3246116,67,6202640
depot,p20.pddl,on-w0.5,0,,,9615,3391697,65,6511712
depot,p20.pddl,on-w2,0,,,9615,3720057,80,5160844
depot,p20.pddl,on-skipc,0,,,5880,3358302,55,8191900
depot,p20.pddl,on-norm,0,,,9615,11079416,577,8191876
depot,p21.pddl,off,0,,,,3514138,42,4265408
depot,p21.pddl,on,0,,,9630,3067859,41,5670680
depot,p21.pddl,on-w0.5,0,,,9630,2913270,46,4892664
depot,p21.pddl,on-w2,0,,,9630,3075266,41,7022876
depot,p21.pddl,on-skipc,0,,,3870,10331882,208,6352076
depot,p21.pddl,on-norm,0,,,9630,11707772,272,6238736
depot,p22.pddl,off,0,,,,24269584,1611,7745528
depot,p22.pddl,on,0,,,30360,18220377,1863,6321864
depot,p22.pddl,on-w0.5,0,,,30360,16903171,1956,6117540
depot,p22.pddl,on-w2,0,,,30360,18709529,549,5613996
depot,p22.pddl,on-skipc,0,,,18240,7376062,212,6702240
depot,p22.pddl,on-norm,0,,,30360,7701499,195,5929784
tpp,p01.pddl,off,1,5,0.000741388,,34,1,475380
tpp,p01.pddl,on,1,5,0.000829327,6,34,1,475380
tpp,p01.pddl,on-w0.5,1,5,0.000796299,6,34,1,475380
tpp,p01.pddl,on-w2,1,5,0.000833252,6,34,1,475380
tpp,p01.pddl,on-skipc,1,5,0.000583496,3,34,1,475380
tpp,p01.pddl,on-norm,1,5,0.000579135,6,34,1,475380
tpp,p02.pddl,off,1,8,0.0010634,,65,1,450840
tpp,p02.pddl,on,1,8,0.00156721,12,65,1,450840
tpp,p02.pddl,on-w0.5,1,8,0.00113652,12,65,1,450840
tpp,p02.pddl,on-w2,1,8,0.00107507,12,65,1,450840
tpp,p02.pddl,on-skipc,1,8,0.00112141,6,66,1,450840
tpp,p02.pddl,on-norm,1,8,0.0010425,12,65,1,450840
tpp,p03.pddl,off,1,11,0.00132218,,118,1,516388
tpp,p03.pddl,on,1,11,0.00137412,18,118,1,516388
tpp,p03.pddl,on-w0.5,1,11,0.00169418,18,118,1,516388
tpp,p03.pddl,on-w2,1,11,0.00181604,18,120,1,516388
tpp,p03.pddl,on-skipc,1,11,0.00169275,9,123,1,516388
tpp,p03.pddl,on-norm,1,11,0.0016541,18,118,1,516388
tpp,p04.pddl,off,1,14,0.0025711,,164,1,438732
tpp,p04.pddl,on,1,14,0.00272305,24,164,1,438732
tpp,p04.pddl,on-w0.5,1,14,0.00285149,24,164,1,438732
tpp,p04.pddl,on-w2,1,14,0.00241875,24,164,1,438732
tpp,p04.pddl,on-skipc,1,14,0.00250679,12,168,1,438732
tpp,p04.pddl,on-norm,1,14,0.0022479,24,164,1,438732
tpp,p05.pddl,off,1,19,0.0178619,,796,1,537872
tpp,p05.pddl,on,1,19,0.0154734,50,708,1,537744
tpp,p05.pddl,on-w0.5,1,19,0.0163547,50,708,1,537712
tpp,p05.pddl,on-w2,1,19,0.0159989,50,693,1,537776
tpp,p05.pddl,on-skipc,1,19,0.0170008,25,714,1,537776
tpp,p05.pddl,on-norm,1,19,0.0168853,50,708,1,537744
tpp,p06.pddl,off,1,25,0.206026,,2128,1,530572
tpp,p06.pddl,on,1,25,0.188498,45,1663,1,529580
tpp,p06.pddl,on-w0.5,1,25,0.139653,45,1595,1,528812
tpp,p06.pddl,on-w2,1,25,0.166,45,1580,1,529100
tpp,p06.pddl,on-skipc,1,25,0.150001,26,1700,1,528940
tpp,p06.pddl,on-norm,1,25,0.176489,45,1663,1,529580
tpp,p07.pddl,off,1,34,0.564142,,2732,1,451640
tpp,p07.pddl,on,1,34,0.422563,55,2096,1,443964
tpp,p07.pddl,on-w0.5,1,34,0.546749,55,1993,1,444668
tpp,p07.pddl,on-w2,1,34,0.463095,55,1978,1,443804
tpp,p07.pddl,on-skipc,1,34,0.646999,33,2162,1,448252
tpp,p07.pddl,on-norm,1,34,0.433099,55,2096,1,443964
tpp,p08.pddl,off,1,40,1.35057,,4055,1,489400
tpp,p08.pddl,on,1,40,0.78998,64,2394,1,470592
tpp,p08.pddl,on-w0.5,1,40,0.546196,64,2250,1,467552
tpp,p08.pddl,on-w2,1,40,0.588539,64,2350,1,467680
tpp,p08.pddl,on-skipc,1,40,0.594447,39,2401,1,468064
tpp,p08.pddl,on-norm,1,40,0.710581,64,2394,1,470592
tpp,p09.pddl,off,0,,,,46323,1,1700764
tpp,p09.pddl,on,1,48,1228.08,79,10196,1,1386120
tpp,p09.pddl,on-w0.5,0,,,79,12828,1,1714372
tpp,p09.pddl,on-w2,1,48,118.308,79,9168,1,1124028
tpp,p09.pddl,on-skipc,1,48,1148.98,47,12526,1,1672020
tpp,p09.pddl,on-norm,1,48,1166.79,79,10196,1,1433488
tpp,p10.pddl,off,0,,,,84275,1,1814832
tpp,p10.pddl,on,0,,,81,13531,1,1853360
tpp,p10.pddl,on-w0.5,0,,,81,16903,1,1680532
tpp,p10.pddl,on-w2,0,,,81,10397,1,2188592
tpp,p10.pddl,on-skipc,1,54,1472.44,47,12603,1,1315128
tpp,p10.pddl,on-norm,0,,,81,13531,1,1848276
tpp,p11.pddl,off,0,,,,20342,1,1517200
tpp,p11.pddl,on,0,,,73,6185,1,1482604
tpp,p11.pddl,on-w0.5,0,,,73,6612,1,1383764
tpp,p11.pddl,on-w2,0,,,73,6040,1,1536724
tpp,p11.pddl,on-skipc,0,,,45,6100,1,1462736
tpp,p11.pddl,on-norm,0,,,73,6185,1,1340572
tpp,p12.pddl,off,0,,,,25987,1,1831344
tpp,p12.pddl,on,0,,,76,8739,1,1482280
tpp,p12.pddl,on-w0.5,0,,,76,8935,1,1641720
tpp,p12.pddl,on-w2,0,,,76,9633,1,1557516
tpp,p12.pddl,on-skipc,0,,,44,8991,1,1634444
tpp,p12.pddl,on-norm,0,,,76,8739,1,1496576
tpp,p13.pddl,off,0,,,,121862,2,3562576
tpp,p13.pddl,on,0,,,44,85229,2,1855760
tpp,p13.pddl,on-w0.5,0,,,44,68072,2,2460632
tpp,p13.pddl,on-w2,0,,,44,83703,2,3729112
tpp,p13.pddl,on-skipc,0,,,14,67697,2,3670824
tpp,p13.pddl,on-norm,0,,,44,85229,2,1844860
tpp,p14.pddl,off,0,,,,62730,3,3186864
tpp,p14.pddl,on,0,,,47,89747,3,3297912
tpp,p14.pddl,on-w0.5,0,,,47,90379,2,4099816
tpp,p14.pddl,on-w2,0,,,47,72260,2,2458760
tpp,p14.pddl,on-skipc,0,,,13,109086,2,1919924
tpp,p14.pddl,on-norm,0,,,47,89747,3,3298016
tpp,p15.pddl,off,0,,,,148013,3,4234072
tpp,p15.pddl,on,0,,,52,74131,3,7041220
tpp,p15.pddl,on-w0.5,0,,,52,50628,3,5130932
tpp,p15.pddl,on-w2,0,,,52,116065,2,8191896
tpp,p15.pddl,on-skipc,0,,,14,111005,3,6887480
tpp,p15.pddl,on-norm,0,,,52,74131,3,5435260
tpp,p16.pddl,off,0,,,,127805,5,7992712
tpp,p16.pddl,on,0,,,57,100914,4,5704180
tpp,p16.pddl,on-w0.5,0,,,57,93410,4,5411216
tpp,p16.pddl,on-w2,0,,,57,164460,3,3652868
tpp,p16.pddl,on-skipc,0,,,0,127805,5,5871216
tpp,p16.pddl,on-norm,0,,,57,100914,4,5715992
tpp,p17.pddl,off,0,,,,187653,7,7170628
tpp,p17.pddl,on,0,,,63,202190,6,5583520
tpp,p17.pddl,on-w0.5,0,,,63,233504,6,8191872
tpp,p17.pddl,on-w2,0,,,63,209107,5,8192000
tpp,p17.pddl,on-skipc,0,,,0,187653,7,7263412
tpp,p17.pddl,on-norm,0,,,63,202190,6,5780784
tpp,p18.pddl,off,0,,,,314404,6,8191932
tpp,p18.pddl,on,0,,,68,239149,6,4170040
tpp,p18.pddl,on-w0.5,0,,,68,350518,6,5637664
tpp,p18.pddl,on-w2,0,,,68,216324,6,8191940
tpp,p18.pddl,on-skipc,0,,,0,314404,6,8191940
tpp,p18.pddl,on-norm,0,,,68,239149,6,4615812
tpp,p19.pddl,off,0,,,,179058,8,8189444
tpp,p19.pddl,on,0,,,72,286897,7,4490204
tpp,p19.pddl,on-w0.5,0,,,72,191095,8,4021840
tpp,p19.pddl,on-w2,0,,,72,188779,7,6297276
tpp,p19.pddl,on-skipc,0,,,0,179058,8,8168140
tpp,p19.pddl,on-norm,0,,,72,286897,7,4411340
tpp,p20.pddl,off,0,,,,319727,8,7834728
tpp,p20.pddl,on,0,,,77,369471,6,8191892
tpp,p20.pddl,on-w0.5,0,,,77,299622,8,8191940
tpp,p20.pddl,on-w2,0,,,77,307946,7,6923416
tpp,p20.pddl,on-skipc,0,,,0,319727,8,5735864
tpp,p20.pddl,on-norm,0,,,77,369471,6,8191972
tpp,p21.pddl,off,0,,,,301015,9,6728416
tpp,p21.pddl,on,0,,,67,289599,9,8191948
tpp,p21.pddl,on-w0.5,0,,,67,417051,8,8191904
tpp,p21.pddl,on-w2,0,,,67,327760,8,6373504
tpp,p21.pddl,on-skipc,0,,,0,301015,9,7006536
tpp,p21.pddl,on-norm,0,,,67,289599,9,8191856
tpp,p22.pddl,off,0,,,,355235,9,8191852
tpp,p22.pddl,on,0,,,74,258857,9,8191880
tpp,p22.pddl,on-w0.5,0,,,74,457384,9,6718120
tpp,p22.pddl,on-w2,0,,,74,362846,9,8191968
tpp,p22.pddl,on-skipc,0,,,0,355235,9,8191892
tpp,p22.pddl,on-norm,0,,,74,258857,9,8191872
tpp,p23.pddl,off,0,,,,390020,9,8191976
tpp,p23.pddl,on,0,,,76,318260,10,7632112
tpp,p23.pddl,on-w0.5,0,,,76,331027,11,8191928
tpp,p23.pddl,on-w2,0,,,76,324363,9,8191912
tpp,p23.pddl,on-skipc,0,,,0,390020,9,8186260
tpp,p23.pddl,on-norm,0,,,76,318260,10,7626556
tpp,p24.pddl,off,0,,,,394611,10,5481832
tpp,p24.pddl,on,0,,,80,355825,10,8191940
tpp,p24.pddl,on-w0.5,0,,,80,440688,10,8191988
tpp,p24.pddl,on-w2,0,,,80,352117,10,8191932
tpp,p24.pddl,on-skipc,0,,,0,394611,10,5499096
tpp,p24.pddl,on-norm,0,,,80,355825,10,8191936
tpp,p25.pddl,off,0,,,,475205,14,8191920
tpp,p25.pddl,on,0,,,89,407382,14,4892316
tpp,p25.pddl,on-w0.5,0,,,89,689370,14,8191924
tpp,p25.pddl,on-w2,0,,,89,417757,15,8191936
tpp,p25.pddl,on-skipc,0,,,0,475205,14,8191976
tpp,p25.pddl,on-norm,0,,,89,407382,14,7153520
tpp,p26.pddl,off,0,,,,383127,18,8191984
tpp,p26.pddl,on,0,,,114,367045,18,8191900
tpp,p26.pddl,on-w0.5,0,,,114,537507,17,8191952
tpp,p26.pddl,on-w2,0,,,114,496979,17,6439524
tpp,p26.pddl,on-skipc,0,,,0,383127,18,8191864
tpp,p26.pddl,on-norm,0,,,114,367045,18,8191928
tpp,p27.pddl,off,0,,,,537709,19,8191920
tpp,p27.pddl,on,0,,,118,571539,19,8191932
tpp,p27.pddl,on-w0.5,0,,,118,627598,19,8192000
tpp,p27.pddl,on-w2,0,,,118,803106,18,8165260
tpp,p27.pddl,on-skipc,0,,,0,537709,19,8191972
tpp,p27.pddl,on-norm,0,,,118,571539,19,8191892
tpp,p28.pddl,off,0,,,,523944,19,7338432
tpp,p28.pddl,on,0,,,126,517395,19,7025516
tpp,p28.pddl,on-w0.5,0,,,126,592886,19,7775240
tpp,p28.pddl,on-w2,0,,,126,634566,18,8191856
tpp,p28.pddl,on-skipc,0,,,0,523944,19,7497592
tpp,p28.pddl,on-norm,0,,,126,517395,19,7504368
tpp,p29.pddl,off,0,,,,828536,27,8191904
tpp,p29.pddl,on,0,,,137,847519,24,8004876
tpp,p29.pddl,on-w0.5,0,,,137,826157,27,8191884
tpp,p29.pddl,on-w2,0,,,137,758649,25,8191960
tpp,p29.pddl,on-skipc,0,,,0,828536,27,8191856
tpp,p29.pddl,on-norm,0,,,137,847519,24,8005016
tpp,p30.pddl,off,0,,,,751775,29,6295288
tpp,p30.pddl,on,0,,,144,823486,27,8191924
tpp,p30.pddl,on-w0.5,0,,,144,754081,27,8191908
tpp,p30.pddl,on-w2,0,,,144,867283,25,5789868
tpp,p30.pddl,on-skipc,0,,,0,751775,29,6311792
tpp,p30.pddl,on-norm,0,,,144,823486,27,8191968
pipesworld-tankage,p01-net1-b6-g2-t50.pddl,off,1,5,0.0239992,,4213,1,434896
pipesworld-tankage,p01-net1-b6-g2-t50.pddl,on,1,5,0.0217605,157,2865,1,434576
pipesworld-tankage,p01-net1-b6-g2-t50.pddl,on-w0.5,1,5,0.0234895,157,3114,1,434736
pipesworld-tankage,p01-net1-b6-g2-t50.pddl,on-w2,1,5,0.0216203,157,2868,1,434608
pipesworld-tankage,p01-net1-b6-g2-t50.pddl,on-skipc,1,5,0.0247797,29,3412,1,434864
pipesworld-tankage,p01-net1-b6-g2-t50.pddl,on-norm,1,5,0.0236253,157,2992,1,434608
pipesworld-tankage,p02-net1-b6-g4-t50.pddl,off,1,12,0.0339997,,3655,1,435088
pipesworld-tankage,p02-net1-b6-g4-t50.pddl,on,1,12,0.0265547,157,2864,1,434704
pipesworld-tankage,p02-net1-b6-g4-t50.pddl,on-w0.5,1,12,0.0250005,157,3029,1,434864
pipesworld-tankage,p02-net1-b6-g4-t50.pddl,on-w2,1,12,0.025566,157,2869,1,434736
pipesworld-tankage,p02-net1-b6-g4-t50.pddl,on-skipc,1,12,0.0272119,29,3447,1,435056
pipesworld-tankage,p02-net1-b6-g4-t50.pddl,on-norm,1,12,0.0249898,157,3030,1,434736
pipesworld-tankage,p03-net1-b8-g3-t80.pddl,off,1,8,0.144437,,9795,1,484828
pipesworld-tankage,p03-net1-b8-g3-t80.pddl,on,1,8,0.134807,77,5081,1,483740
pipesworld-tankage,p03-net1-b8-g3-t80.pddl,on-w0.5,1,8,0.126647,77,5539,1,484156
pipesworld-tankage,p03-net1-b8-g3-t80.pddl,on-w2,1,8,0.20427,77,5141,1,488312
pipesworld-tankage,p03-net1-b8-g3-t80.pddl,on-skipc,1,8,0.227762,13,8265,1,489432
pipesworld-tankage,p03-net1-b8-g3-t80.pddl,on-norm,1,8,0.14653,77,5021,1,484028
pipesworld-tankage,p04-net1-b8-g5-t80.pddl,off,1,11,0.187001,,7719,1,486552
pipesworld-tankage,p04-net1-b8-g5-t80.pddl,on,1,11,0.174509,77,5084,1,485556
pipesworld-tankage,p04-net1-b8-g5-t80.pddl,on-w0.5,1,11,0.179044,77,5523,1,486712
pipesworld-tankage,p04-net1-b8-g5-t80.pddl,on-w2,1,11,0.196492,77,5110,1,487992
pipesworld-tankage,p04-net1-b8-g5-t80.pddl,on-skipc,1,11,0.264987,13,8571,1,491252
pipesworld-tankage,p04-net1-b8-g5-t80.pddl,on-norm,1,11,0.18592,77,5021,1,485812
pipesworld-tankage,p05-net1-b10-g4-t50.pddl,off,1,8,0.446,,25688,1,518068
pipesworld-tankage,p05-net1-b10-g4-t50.pddl,on,1,8,0.374882,149,13749,1,516272
pipesworld-tankage,p05-net1-b10-g4-t50.pddl,on-w0.5,1,8,0.345731,149,11600,1,515120
pipesworld-tankage,p05-net1-b10-g4-t50.pddl,on-w2,1,8,0.201948,149,9743,1,506420
pipesworld-tankage,p05-net1-b10-g4-t50.pddl,on-skipc,1,8,0.371992,23,18962,1,517044
pipesworld-tankage,p05-net1-b10-g4-t50.pddl,on-norm,1,8,0.153775,149,9135,1,508600
pipesworld-tankage,p06-net1-b10-g6-t50.pddl,off,1,10,0.513748,,19167,1,515796
pipesworld-tankage,p06-net1-b10-g6-t50.pddl,on,1,10,0.460068,149,10230,1,517456
pipesworld-tankage,p06-net1-b10-g6-t50.pddl,on-w0.5,1,10,0.323692,149,11510,1,510548
pipesworld-tankage,p06-net1-b10-g6-t50.pddl,on-w2,1,10,0.451724,149,13341,1,516240
pipesworld-tankage,p06-net1-b10-g6-t50.pddl,on-skipc,1,10,0.548856,23,15449,1,523436
pipesworld-tankage,p06-net1-b10-g6-t50.pddl,on-norm,1,10,0.274837,149,14440,1,514576
pipesworld-tankage,p07-net1-b12-g5-t80.pddl,off,1,8,1.48987,,37821,1,653620
pipesworld-tankage,p07-net1-b12-g5-t80.pddl,on,1,8,3.16692,84,24472,1,717240
pipesworld-tankage,p07-net1-b12-g5-t80.pddl,on-w0.5,1,8,2.23758,84,33676,1,644216
pipesworld-tankage,p07-net1-b12-g5-t80.pddl,on-w2,1,8,3.15551,84,18463,1,690432
pipesworld-tankage,p07-net1-b12-g5-t80.pddl,on-skipc,1,8,1.68328,12,28328,1,630848
pipesworld-tankage,p07-net1-b12-g5-t80.pddl,on-norm,1,8,1.61326,84,37187,1,656404
pipesworld-tankage,p08-net1-b12-g7-t80.pddl,off,1,11,6.54902,,37913,1,751424
pipesworld-tankage,p08-net1-b12-g7-t80.pddl,on,1,11,10.332,84,24816,1,855596
pipesworld-tankage,p08-net1-b12-g7-t80.pddl,on-w0.5,1,11,8.58038,84,32271,1,810276
pipesworld-tankage,p08-net1-b12-g7-t80.pddl,on-w2,1,11,46.6992,84,20913,1,1015744
pipesworld-tankage,p08-net1-b12-g7-t80.pddl,on-skipc,1,11,6.27511,12,25156,1,799396
pipesworld-tankage,p08-net1-b12-g7-t80.pddl,on-norm,1,11,3.95093,84,23578,1,695320
pipesworld-tankage,p09-net1-b14-g6-t50.pddl,off,1,18,157.572,,46757,1,1267040
pipesworld-tankage,p09-net1-b14-g6-t50.pddl,on,1,18,16.7525,129,18237,1,925344
pipesworld-tankage,p09-net1-b14-g6-t50.pddl,on-w0.5,1,18,68.4876,129,25694,1,1113288
pipesworld-tankage,p09-net1-b14-g6-t50.pddl,on-w2,1,18,32.0918,129,18205,1,1120448
pipesworld-tankage,p09-net1-b14-g6-t50.pddl,on-skipc,1,18,680.522,17,37468,1,1297400
pipesworld-tankage,p09-net1-b14-g6-t50.pddl,on-norm,1,18,65.259,129,24541,1,1126568
pipesworld-tankage,p10-net1-b14-g8-t50.pddl,off,1,19,128.251,,49130,1,1147844
pipesworld-tankage,p10-net1-b14-g8-t50.pddl,on,1,19,18.8825,129,18267,1,1195980
pipesworld-tankage,p10-net1-b14-g8-t50.pddl,on-w0.5,1,19,80.4782,129,25694,1,1306104
pipesworld-tankage,p10-net1-b14-g8-t50.pddl,on-w2,1,19,36.9678,129,18205,1,1010532
pipesworld-tankage,p10-net1-b14-g8-t50.pddl,on-skipc,1,19,665.974,17,33011,1,1360356
pipesworld-tankage,p10-net1-b14-g8-t50.pddl,on-norm,1,19,33.1493,129,24541,1,1174008
pipesworld-tankage,p11-net2-b10-g2-t30.pddl,off,1,22,214.925,,735892,9,1405296
pipesworld-tankage,p11-net2-b10-g2-t30.pddl,on,1,22,134.619,1117,875348,12,1561236
pipesworld-tankage,p11-net2-b10-g2-t30.pddl,on-w0.5,1,22,176.913,1117,756763,10,1374736
pipesworld-tankage,p11-net2-b10-g2-t30.pddl,on-w2,1,22,229.057,1117,796470,12,1472464
pipesworld-tankage,p11-net2-b10-g2-t30.pddl,on-skipc,1,22,205.361,10,761299,11,1425724
pipesworld-tankage,p11-net2-b10-g2-t30.pddl,on-norm,1,22,159.962,1117,763794,10,1325368
pipesworld-tankage,p12-net2-b10-g4-t60.pddl,off,1,24,292.808,,886101,11,1553364
pipesworld-tankage,p12-net2-b10-g4-t60.pddl,on,1,24,245.557,1117,822609,11,1442712
pipesworld-tankage,p12-net2-b10-g4-t60.pddl,on-w0.5,1,24,350.483,1117,882253,13,1698196
pipesworld-tankage,p12-net2-b10-g4-t60.pddl,on-w2,1,24,251.303,1117,797888,11,1385252
pipesworld-tankage,p12-net2-b10-g4-t60.pddl,on-skipc,1,24,236.38,10,886410,11,1408508
pipesworld-tankage,p12-net2-b10-g4-t60.pddl,on-norm,1,24,188.323,1117,771537,11,1372968
pipesworld-tankage,p13-net2-b12-g3-t70.pddl,off,1,16,197.812,,1154377,22,1534752
pipesworld-tankage,p13-net2-b12-g3-t70.pddl,on,1,16,240.101,1565,1229081,22,1786384
pipesworld-tankage,p13-net2-b12-g3-t70.pddl,on-w0.5,1,16,249.088,1565,1284281,22,1777268
pipesworld-tankage,p13-net2-b12-g3-t70.pddl,on-w2,1,16,592.967,1565,1178479,20,2504108
